author,journal,volume,page,year,doi
A. Psaltis,Nucl. Instrum. Methods Phys. Res. A,987,164828,2021,10.1016/j.nima.2020.164828
M. Williams,Phys. Rev. C,102,35801,2020,10.1103/PhysRevC.102.035801
A. Lennarz,Phys. Lett. B,807,135539,2020,10.1016/j.physletb.2020.135539
A. Psaltis,Phys. Rev. C,99,65807,2019,10.1103/PhysRevC.99.065807
