homelat,homelon,homecontinent,n
29.52,-95.42,North America,3
43.17,-76.5,North America,1
41.79,-81.07,North America,4
39.96,-75.36,North America,1
43.49,-79.66,North America,1
37.53,-77.61,North America,2
41.57,-72.32,North America,1
35.08,-80.83,North America,1
